rating,id,imdbid,year,title_x,Normalized_Title,Wiki_ID,Movie_ID,title_y,release_date,BoxOfficeRevenue,Runtime,Languages,Countries,Genres,releaseYear
0,8040,0392728,1888,Roundhay Garden Scene,roundhaygardenscene,1082508,/m/044ggd,Roundhay Garden Scene,1888,,0.03,['Silent film'],['United Kingdom'],"['Short Film', 'Silent film', 'Indie', 'Black-and-white']",1888
0,9619,0466876,1889,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses","leisurelypedestrians,opentoppedbusesandhansomcabswithtrottinghorses",12170539,/m/02vs8rb,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889,,,"['Silent film', 'English Language']",['United Kingdom'],"['Short Film', 'Silent film', 'Indie', 'Black-and-white']",1889
0,9617,0361921,1890,"Monkeyshines, No. 1","monkeyshines,no.1",6431996,/m/0g53t3,"Monkeyshines, No. 1",1890,,,['Silent film'],['United States of America'],['Silent film'],1890
0,9626,0241373,1891,Dickson Greeting,dicksongreeting,644824,/m/02_1qn,Dickson Greeting,1891,,0.05,[],['United States of America'],"['Short Film', 'Indie']",1891
0,9628,0241715,1891,Men Boxing,menboxing,32175981,/m/0gy0t95,Men Boxing,1891,,0.0833333333333,['Silent film'],[],"['Short Film', 'Silent film']",1891
0,9629,0241763,1891,Newark Athlete,newarkathlete,27773121,/m/0cc8h1v,Newark Athlete,1891,,0.2,[],[],['Short Film'],1891
0,5433,0000003,1892,Pauvre Pierrot,pauvrepierrot,6431647,/m/0g53g2,Pauvre Pierrot,1892-10-28,,,['Silent film'],['France'],"['Short Film', 'Silent film', 'Indie', 'Animation']",1892
0,9631,0000004,1892,Un bon bock,unbonbock,9999926,/m/02pzdsc,Un bon bock,1892-10-28,,,['Silent film'],['France'],"['Short Film', 'Silent film', 'Indie', 'Animation']",1892
0,9632,0000002,1892,Le clown et ses chiens,leclownetseschiens,9996498,/m/02pz844,Le Clown et ses chiens,1892-10-28,,,['Silent film'],['France'],"['Short Film', 'Silent film', 'Indie', 'Animation']",1892
0,9583,0000005,1893,Blacksmith Scene,blacksmithscene,73372,/m/0jq3g,Blacksmith Scene,1893,,0.566666666667,['Silent film'],['United States of America'],"['Short Film', 'Silent film', 'Indie', 'Black-and-white']",1893
